posting_date,id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,state,lat,long,odometer_tier,description,tx_avg
2021-04-22T11:12:41-0500,7310879878,nashville,27775.0,2018,chevrolet,silverado 1500,good,8 cylinders,gas,70714.0,clean,automatic,3GCPCPEC7JG370733,rwd,full-size,truck,tn,36.150429,-86.701409,high_mi,2018 chevrolet silverado 1500 high_mi,39990.0
2021-05-04T10:34:12-0400,7316703922,atlanta,34995.0,2018,ford,f-150,excellent,8 cylinders,gas,66029.0,clean,automatic,1FTEW1E58JFC55508,4wd,full-size,truck,ga,33.5242,-84.359,high_mi,2018 ford f-150 high_mi,38900.0
2021-04-15T12:11:03-0400,7307225877,knoxville,35590.0,2018,gmc,sierra 1500 double cab sle,good,6 cylinders,gas,22299.0,clean,automatic,1GTV2MEH3JZ364674,4wd,,pickup,tn,35.97,-83.94,low_mi,2018 gmc sierra 1500 double cab sle low_mi,35590.0
2021-04-19T16:41:23-0400,7309473586,rochester,38567.0,2018,ford,f-150,excellent,6 cylinders,gas,67100.0,clean,automatic,1FTEW1EG0JFA12504,4wd,full-size,truck,ny,43.002421,-77.667238,high_mi,2018 ford f-150 high_mi,38900.0
2021-05-01T09:22:10-0400,7315249769,kokomo,38590.0,2018,ford,f150 supercrew cab xlt,good,6 cylinders,gas,25585.0,clean,other,1FTEW1EP6JFA14676,4wd,,pickup,in,40.47,-86.13,mid_mi,2018 ford f150 supercrew cab xlt mid_mi,30990.0
2021-04-07T09:30:44-0400,7303061086,western massachusetts,56900.0,2018,ford,f-150,excellent,6 cylinders,gas,25541.0,clean,automatic,1FTEW1EGXJFC37710,4wd,mid-size,truck,ma,42.4759,-73.3773,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-23T09:28:25-0400,7311294173,western massachusetts,56900.0,2018,ford,f-150,excellent,6 cylinders,gas,36571.0,clean,automatic,1FTFW1EGXJFB60941,4wd,mid-size,truck,ma,42.4759,-73.3773,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-24T16:01:13-0700,7312128943,reno / tahoe,33995.0,2018,ram,1500,excellent,8 cylinders,gas,35995.0,clean,automatic,1C6RR7FTXJS122837,4wd,full-size,pickup,ca,39.517781,-119.773093,mid_mi,2018 ram 1500 mid_mi,35000.0
2021-05-01T13:41:31-0400,7315391509,atlanta,36990.0,2018,gmc,sierra 1500 double cab sle,good,8 cylinders,gas,23424.0,clean,other,2GTV2MECXJ1106083,4wd,,pickup,ga,33.76,-84.33,low_mi,2018 gmc sierra 1500 double cab sle low_mi,35590.0
2021-04-17T10:15:46-0400,7308214239,maine,36500.0,2018,ford,f-150,excellent,,gas,65861.0,clean,automatic,1FTEW1EG4JKE62907,4wd,,pickup,me,44.104246,-70.086285,high_mi,2018 ford f-150 high_mi,38900.0
2021-05-04T10:27:06-0400,7316700127,scranton / wilkes-barre,36995.0,2018,chevrolet,silverado 1500,good,8 cylinders,gas,69521.0,clean,automatic,3GCUKREC6JG172503,4wd,,truck,pa,41.381951,-75.685531,high_mi,2018 chevrolet silverado 1500 high_mi,39990.0
2021-04-26T10:11:01-0400,7312769401,louisville,36990.0,2018,chevrolet,colorado crew cab z71,good,6 cylinders,gas,17466.0,clean,other,1GCGTDEN8J1212819,4wd,,pickup,ky,38.22,-85.74,low_mi,2018 chevrolet colorado crew cab z71 low_mi,31990.0
2021-04-07T15:01:13-0500,7303304505,tulsa,31990.0,2018,nissan,titan crew cab sv pickup,good,,other,19246.0,clean,other,1N6AA1EK9JN526713,,,pickup,ok,36.12,-95.91,low_mi,2018 nissan titan crew cab sv pickup low_mi,32990.0
2021-04-24T07:24:11-0500,7311787359,evansville,33990.0,2018,gmc,sierra 1500 double cab sle,good,6 cylinders,gas,24299.0,clean,other,1GTV2MEHXJZ346690,4wd,,pickup,in,37.98,-87.54,low_mi,2018 gmc sierra 1500 double cab sle low_mi,35590.0
2021-04-10T10:51:09-0400,7304661812,albany,28990.0,2017,chevrolet,colorado crew cab lt,good,6 cylinders,gas,26288.0,clean,other,1GCGSCENXH1236904,,,pickup,ga,31.57,-84.17,mid_mi,2017 chevrolet colorado crew cab lt mid_mi,29990.0
2021-05-02T06:25:18-0700,7315709522,los angeles,29990.0,2017,nissan,titan crew cab sv pickup,good,8 cylinders,gas,35045.0,clean,automatic,1N6AA1EK5HN535273,,,pickup,ca,34.61,-118.27,mid_mi,2017 nissan titan crew cab sv pickup mid_mi,26990.0
